year,news
1932,AIR INDIA NATIONALISED (TAKEN AWAY FROM TATA SONS)
2021,TATA SONS WINS BID (RATAN TATA ![TWEETS](https://www.google.com/search?q=twitter+symbol+png&rlz=1C1CHZL_enGB731GB732&sxsrf=AOaemvKJpmMQydKMVO2gnE2HX-AHZPOpvA:1633935591524&tbm=isch&source=iu&ictx=1&fir=glwcI1QRB1nMNM%252CS7ZyEqe3SVfWRM%252C_%253BPBSTQavGcEt12M%252CS7ZyEqe3SVfWRM%252C_%253BIhQOFOWbjkVG3M%252CvCzYvvD2eIXt4M%252C_%253BKNFwe8Od9rJshM%252CKIMf7EAltovAwM%252C_%253BJpQE6Na0KU_chM%252C46__HziA0Db1BM%252C_%253BR8tNyR86dk5idM%252CJyLyn0A1EU2FxM%252C_%253BH-FV5YZZATHMbM%252CnrZ5G5BkGEVujM%252C_%253BalB4gsasuTBsTM%252Cnx-wrW9nD9BOBM%252C_&vet=1&usg=AI4_-kRixPtzwF3gRVLKkvxAlF27kbvqGg&sa=X&sqi=2&ved=2ahUKEwjKz5K05MHzAhXapZUCHQ0oAWsQ9QF6BAgMEAE#imgrc=KNFwe8Od9rJshM | width=50) WELCOME BACK AIR INDIA)
